Job Title,Company Name,Location,link,Is Recommended?
"
            Automotive Advertising Account Executive
          ","

              Comcast
            
","

South Miami, FL
 
",http://www.linkedin.com/jobs/view/2540634715/?eBP=CwEAAAF5V0SeeV-e1sgFRdFmzpEByzpDexuIDADsgm6IOID-_Qu5Y7au0SaQzoKVHpxDqaVlrJCkoDX01l6_EJxDUoSYbKyKlqUFKVt9Qvgd6e9Rb9675j5ZKSBjp1HVBH2xuLaW4suatO8jWhhtoVBB0ElIL6H8JuinXO34oQljPEaEAVmNrJTj5vjn7mZQx2Guh1H7yzkugHLlFeGn8nU5oOeULSMztlH2pAd4rppk4X6ZXLlDQcPGVw96DnLIPAuzr9HuU1NTRugJ9d-Yi2OzsrUdORqN3S1MGzplBxuTTW8zpiOhSqOmIiOfXS__dYOiXBnYCmyGAdjAVMU0U_qcl3-_cQOKzDLdsMx9cPzyq-0FNBqKWRL6Uhkw8Ox8jqtyd6sQ_g&recommendedFlavor=SCHOOL_RECRUIT&refId=hFvNgNx24zi%2B4cyc4aSXeA%3D%3D&trackingId=tWCbQlOulKOq8ZU57LfL9Q%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Analyst, Sales
          ","

              Mastercard
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2511479701/?eBP=CwEAAAF5V0SeeboFLwQsT3nk1mStyqXn2-FzCs_r5AzrI38Ze4a1jTtaCnrVNNpAauCbFMMHpHmWNbi9CGYwONnQfNtb5GHc2Jum3pQTECADcfQdBe3pGCsn1ZkwB32HffwxrdXRoDDjFeFyr4s7DG78XC-kisLLvFPnlpC0ocbmwk4ODGqlp-B9Jc9z-qmScsl299UfG7jiSIPPa7-ucONw7ERd4ObsU-AmM0kbwnDImp0go1Vd5EgwMOe03zPNu-gz8gqmWKQV3qpElzH_ltrcGQWK_CrgS4VgUFWMPetKiz_wt7A7oQ-5tRtnvEc8hSiLkgaBHR2WAWzVtnQeXyiHmC3LypvjYutWp1MI98odHhRqFmp2bOyzX5jI_ga2APhwdEHfdO-b&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=hFvNgNx24zi%2B4cyc4aSXeA%3D%3D&trackingId=fm0xprB17YtC%2BDczCuAmwQ%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Advertising Sales
          ","

              Haute Living
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2531443345/?eBP=CwEAAAF5V0SeecEvH9xzIeNrzp3KgCa9YJNoOlV1KN3OXUNsUWqdkS0_GVs0RI6U6ynpqVFjiaCi5HMEGPr-UEhI5Yg9Y2FQrV4WaNexpt3GuKMt9aI0dc5JcVVutupAXmWvSb4U06taB2f2DfzOBX_aNvKm7yVWK5Bm8cYmsL-zTplOLHcb1Ye761Hyl-_f6yLWhHidaKxW0wTcLdEkHQE5DYFjLl97wWser7wKkwj13TQiUyi6CXpsJ8pXd-WuyxUwI0dOE1JRIUzr2JK4tdp22osYFDwChh7SCI6BLROZgCtdOMyWT0dsWci7ZVPnTW3U6YIa0ivhJzVpGc2yu6k7rHGQ8M4alO_KZXrHCLpd-Q-LvCrPqeqjkEw07_0qCuXeUe3_cnJx&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=hFvNgNx24zi%2B4cyc4aSXeA%3D%3D&trackingId=TGsMnzoy6aIW1k4LBPZ6vg%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Entry Level Marketing Assistant
          ","

              South Shore Marketing
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2533082610/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=hFvNgNx24zi%2B4cyc4aSXeA%3D%3D&trackingId=Aa3jGuvunZ3jnNB8ZDCUnA%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Athletic/Sports Backgrounds - Marketing & Sales Management Training
          ","

              Charity Advertising and Marketing Partners
            
","

Dallas, TX
 
",http://www.linkedin.com/jobs/view/2536186691/?eBP=JOB_SEARCH_ORGANIC&refId=hFvNgNx24zi%2B4cyc4aSXeA%3D%3D&trackingId=PKS04FurwHM54Ou1OldnZQ%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Analyst, Audience Engine Decision Sciences
          ","

              UM Worldwide
            
","

San Francisco Bay Area

                Remote
              

",http://www.linkedin.com/jobs/view/2533042534/?eBP=CwEAAAF5V0SeeR-sYP1GW_LdROdPH74bfGIJFmUS2j_5IWs_-djAm-Ua9hAkJ7hVadWcr_AtpSeEeZBWP4xEhhZfz242dk7s5tZyQ904oYMj0FMoWvvECtT4jXsJU56EuvGg1q2Gwd9a2Ni2kWTjWsgduWzroyGtWhKNlC1TH2NBZ9SypntopGRwNJyWXZRCbH3g5WBY410xYBssb8tp9crBmMJ5adPGL1r4K6u5rVw78haHnccgqgdExSrgRW0YjuiZ0PmCdrOdrp1Ia6EXFZNy72IMzTF0VLifpK-rjwGU0JIdgj3iPK0P8X-dCZ_QGNAy6lTPhXdZmSdJpUTxxhOXUeB3AVY4qfbmOFmkPrIkz_O2HMZGCCxFSHhlc42X0DrLKSD41g&recommendedFlavor=COMPANY_RECRUIT&refId=hFvNgNx24zi%2B4cyc4aSXeA%3D%3D&trackingId=GahioDeT9akaCMrmh8QieA%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Optimization Consultant
          ","

              Salesforce
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2517739604/?eBP=CwEAAAF5OVr8RzSKkH954CjrDe-IPvmHphVUh8XHCCt_19Ki5O8jdlR7taB4Z7vR2xm5fqx7aFtxq0g_zolghJ_PKXcvS7f6lRULR37RwIrqP9JJFM32u6jiazuupA6hvVqgvDwQmSrvCmVaHxdSYpk1l8dO0cTWRW_fqUKl-GcG_qY8_txpyFm_wcHVgvlBq_KqKvfv4-tVjrnWC59LPBAVyzcKFgJ5nFlCqSCniBJoYJa1x80mapj7zan7dbJ8tsjVQx-QAte7i-mbF9dQiKhfsXJmrhNAYN-iDdiaZmk9qaE-DXq8o1qusRzw1XtmtCZ_EiXsoXl3WJad-8Wdv-npMjoYdWiOwyoDhB-YBLURGquHo0SQRrJxm_wjCu-JdFbk-2Lk7LhM&recommendedFlavor=IN_NETWORK&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=3EpciveCTkAS22KrcrCDqg%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Practice Integration Consultant
          ","

              ChenMed
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2438765026/?eBP=CwEAAAF5OVr8R1PGC-LAdoZG8vi_SLpDWHWgckKlpfbS5i21VZfK04wbqrXec-T35NX9NxV0n7ebFME1kIkXwEvRM4ETRKFFvr1lGlhlJgFfmCLlFPaJhQjQBOv3pkpWyrdwT3rtua3CPhOFFn2oypxCXV2XSRY9jhKlKsvDzPhCYy6grxTONupZY2N1B8iqYaRczE9b3TL3M_XU3GpETVwfxQ5lLZRZcOXlOR0E9HMhCO4V5KYFbjf9TtQY5wt6qKDWkg3h6AYz414VtCc-gVapn4SwWjC0HmnK6cOkYCpm0yDoA46WnCk0flRMJPWmpBJ4y8ic5y3GdmToU0VOo78Xi7H-4dnOzV_N&recommendedFlavor=SCHOOL_RECRUIT&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=2W5cXdV99ZJqZN%2FHIrk1pg%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Augmented Sector Coverage Business Analyst
          ","

              Houlihan Lokey
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2473433349/?eBP=CwEAAAF5OVr8R0O1KfLMWSGzGfKbT6q4CQ-Lna9BrCOieV9h2NpfwCGiIqNVpPbfGRNVdfIwkkuCYykvb0HRG3FDd5Bw2BmrbydJYWhyQ99yugbVx9jiM8Er4o9gV8VjZAG6fuIvoNX3ozusw3p6AURUc9Ih6J1CHXIiIJNl0DxM1yI5zwpfp77F9u2b5hbbI3-xKz0kGaiNAx9ElzM4___EaaqgAjn3sDUi6f9TI10RpHp_HdIGmW8HiVtyOtSGJ-AR6c4tfbI42IsS9LEmee6piNFtCziD1euAV17WYd04-hbK72nFrlNZF9tqE4tzQMve-TigTS5u0N3-i0WLENfJBAfuRXJnyeY5QGLz5NBZhNLUTWR1jR19P50Ua6ty7MX5MaBI0g&recommendedFlavor=COMPANY_RECRUIT&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=41BNcviVlNxyn%2BGBJN48ag%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Analytics and Business Consulting Team Lead
          ","

              Blackbaud
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2531937708/?eBP=CwEAAAF5OVr8R46KU35qDx1oQZDG59POJToqVLPC7LzI34oPhPwVRA5Ro3qbCXTiDJ3cCCrT5VI3zMgWfKPMrrY5StThdMMLdKmiVYxVl4oQEOmDGcXCOEmxzipg_whtnp0gGRURI3SH3h4cV5dn72Hlyis7qxAwvr0RdFnDUCwUhIlqHqZLHGoG4WkYVvHJ0s7Ksob7-J1RHS8WUpzXXfAwQA5gatJeRy9GXbyFH42hvwj4BPWGuUw04Pa_MNvi1Dip-rU4kE9hnoIB1cGF1hVf6RKAIe4loM7NaoOsqMQdmhrRyt2F2gKPn5IJjjU3vI4FllS2Umrc-b4TN9pDYXl5p8raLWdwstpGuCwR8A&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=OcqL7TnhC951Iis0zSwkJg%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Business Analyst
          ","

              PINKERTON | Comprehensive Risk Management
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2515344099/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=5DFxMbMvUG6Co3j9AsapQw%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Business Analyst
          ","

              Holland America Line
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2512586118/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=BACkr8L74N20MahddvTdWg%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Business Development Manager (Delicatessen Services Co., LLC)
          ","

              Boar's Head Brand
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2524254049/?eBP=CwEAAAF5OVr8R4Oh4q4kPQd_doG7ZPo73diJJ2p1V5bbXOmeBtq2iUvWxFKJ2uv1T7sNWMJxOMMgb-9JZre0Q9PB7S4jKyUEywdAxTPMZuyZiMk6hiSP_k3oMA523bCKxb5zAQRkNKZSgmnCJ3qG0jFK5zYiBKwgsln5dm9G5EIN1beluT31DKoaGwCyTtN8kAp-b0mvlFVFx3Q88iW1rvl_0myL91ChkSp6xY8j17TsAutmHH3HV9adkSqjM7IB0bv1eexhHQDIv2bssK7VRQ7PcAnT-guwITJKMtDe4D884Mt9RcNZYUfFCu8Y47Eu7cgvdHpSbRfDOGFTSH1vbQIMmKjopV9zQFoWPC0&refId=R%2FbCp4Sup4tF9dxOyYKhZw%3D%3D&trackingId=rw4cbseixLHEJI%2FQSy11jA%3D%3D&trk=flagship3_search_srp_jobs,False
"
            Business Data Analyst
          ","

              Auth0
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2497735525/?eBP=CwEAAAF5OVjYVfNWedkjuru1Gif_oWXwjmZWh5-xNCeef2ioGH1ue0jq9Esw-35UAZvN5hbYrsNrgC-mE5Ldgot6l0wMfbXsRrhNqdDe__o_OSjnHeP9PDBkokeePMzuZ8DkX-3WUGShrF6Q4aQkdC6PWaI7F1kKrOQZOfv6KmtK9-u5w63fKKGbrGXJBWShuIdRcQ6RFbsm7GoYKTszaG0dY_Bgm-kRPzRoDpFwgEdX0YtwIGzRrJQT0zRp_9bCOCfqgHiSsHAwNE2rwdKP-KbmSnHZsxb7jznH9pBd_C8lz-U3rz6fBa0EaAOlibQcOV92_WylPiBOogS1pcSG83HknHkhgsmQIM-VDII&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=FLGhpaIWRUUUHVNcpWAvkA%3D%3D&trk=flagship3_search_srp_jobs,True
"
            Treasury Data Analyst
          ","

              BankUnited
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2392353955/?eBP=CwEAAAF5OVjYVXzHKrcxEkhC_HT4LXSzP5SoSoJ_RpRPT5HQOq9P7ujTjxA87n5KqyEglY91sqCnq99HNEDthMrylmahDsOMRVh8QWsh6hFYbZrgjbwKZRGWlo1vAzR6BCgmThpssCW9L6sQjxAfQmb1C4BWOcr6pFgPcRjmY_Jfi-cO424GcfyZtLrttlsaZj_d61oCBZ7FTpiSg5_huc5w90Em-fq1DWmIGrkfDX1Y8cHiGAsTezlSwAwbKqVCes2_8NmXwbw3sUH1a567i1S1xTHezjpKdlu49M4OS81J8FOqrWJdER7cfx8DHKatvuZXsAOMJhIUgTeYTdUjlATGvJ24QebSphTe10o&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=aKIEVN%2B6jozUmxMLCSHEyA%3D%3D&trk=flagship3_search_srp_jobs,True
"
            BI/Data analyst
          ","

              Royal Caribbean Group
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2494258875/?eBP=CwEAAAF5OVjYVXYaEcK7toCQgtn8WUtjX1u1tTyqzyqgz2SLY8zLmZmklOvxG-zmerOi01O8KxuFl6JkwkpCnx0OVnVWU1CDEAcir5NDu6fnLuoEDDrvZA5xTBmXZNFQw2PCmA6xkNlQy6Dd1iuCUH_TNwaHn4_WF-X0MT52hZ8CVPjdgT4nLqXzDcB0OGkeITGjm4qpwjBGEbUXvJt_Q25zx2igM1o7AYn40wThCyQ1diWQPNW6IeGACq2SKsXHXWJzStZOXox2cWGAVXXDsJMqp99HNPp4o_aw8ZIejdQ0Lr8tggahEVModfGQ3yxXU8Gk_tiv0Cvwf3lxnpNWuO2XFiUGGpZSTvZ7yWu00GsWAu2TaIjN3bXRyfjIAhqVQV2-0fUpOg&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=f3wd2DBzX4OK%2Fbk0sSCAeQ%3D%3D&trk=flagship3_search_srp_jobs,True
"
            Data/Reporting Analyst
          ","

              BankUnited
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2185780885/?eBP=CwEAAAF5OVjYVRjFmr-14fngzwe4DVeLs_XfSCOxf7fChrgb8a8Ic_2T_Tq8G_col-aSaRxakZkxudyBJ1HstnmFVvy73qOBjAUUwagFmSgcBi4lUSru0JCs6K3SkZDaK0kuVmVvqalhtgwSYG_I32ry-dA1_HxuN9DzzwlWdkYK6S_OFzrA7YR3qy1V6CmME53iJWo4IROVeOCXA4geEcvHisg7Y24Q5z7wBlXphtzDchmdcwDsOMv_c0aF2NydN7g_2-Jrj8-Rbvbce2AuFaG1Cg2epTmnI-DlyJ6A-_qJ-T9rqy8A7nv8DdCnEYuWFQIfyoKJaK7-tYuNjrys3TUh-YcT4OAJCNSUZNA5lUAyX4w0cUYfHgpiA1klp6B-2Crk7znPoQ&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=Z7JZvkjdgJkM2MQsEscELg%3D%3D&trk=flagship3_search_srp_jobs,True
"
            Data Analyst (TEMP)
          ","

              University of Miami
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2512215177/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=A1Tr9ogI53VToNuZmVFbFw%3D%3D&trk=flagship3_search_srp_jobs,True
"
            IT Data Analyst
          ","

              University of Miami
            
","

Coral Gables, FL
 
",http://www.linkedin.com/jobs/view/2419741516/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=%2BM%2FJTDJNpfxqgm6mToSV0A%3D%3D&trk=flagship3_search_srp_jobs,True
"
            Business Data Analyst
          ","

              Auth0
            
","

Miami, FL
 
",http://www.linkedin.com/jobs/view/2497736512/?eBP=CwEAAAF5OVjYVT_aghTlvUWKkwRbjTx13qlxSuXt5KaeDXHK2akVOgFOhhCW7kPfbKL2Lvi9p5Nb_nxyLYBMtqlfeR-wbRY-Pp3AdRVFEirhlvWzDE4eBWdzBkv9NcfNNFISbMg9d5Sq_-blSd41V1NpHNpP7ez9eSzUPy-uOtpFaHGWdm1fg7mdNN3B58bOE2uvUTmPt_mykAH5wj0yjlgQvVgcgyG-7bJKBwlwUnGb-uxfB3w_e3qYpviVjucTwyPt710PW8YyLdVLVdyj97pHC6vEnTeoUlCK2CuvkLRQ1rvtyaZe6L6fmk3R5VHyD4qXtAdW2DHI7s4P1_9o6SCNVR_qUyWrPhOdkfg-JQKMB15apGX-JXsiel1ziYZhTTIsELDAQg&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=5eVc9sokXzOGCYM6igdegg%3D%3D&trackingId=4FtOtWIR35LFt4J6jPyDWQ%3D%3D&trk=flagship3_search_srp_jobs,True
